timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681150204581,119,HTTP Request,200,,Thread Group 1-1,text,true,,570,513,2,2,http://localhost:9001/emergency,119,0,1
1681150205081,107,HTTP Request,200,,Thread Group 1-6,text,true,,570,513,7,7,http://localhost:9001/emergency,107,0,0
1681150206704,138,HTTP Request,200,,Thread Group 1-1,text,true,,570,513,10,10,http://localhost:9001/emergency,138,0,0
1681150206705,153,HTTP Request,200,,Thread Group 1-4,text,true,,570,513,10,10,http://localhost:9001/emergency,153,0,1
1681150206705,160,HTTP Request,200,,Thread Group 1-3,text,true,,553,513,10,10,http://localhost:9001/emergency,160,0,1
1681150207584,130,HTTP Request,200,,Thread Group 1-7,text,true,,570,513,10,10,http://localhost:9001/emergency,130,0,1
1681150207584,130,HTTP Request,200,,Thread Group 1-2,text,true,,570,513,10,10,http://localhost:9001/emergency,130,0,1
1681150207583,140,HTTP Request,200,,Thread Group 1-6,text,true,,570,513,10,10,http://localhost:9001/emergency,140,0,0
1681150209039,131,HTTP Request,200,,Thread Group 1-5,text,true,,570,513,10,10,http://localhost:9001/emergency,131,0,1
1681150209335,102,HTTP Request,200,,Thread Group 1-8,text,true,,570,513,10,10,http://localhost:9001/emergency,102,0,0
1681150209438,93,HTTP Request,200,,Thread Group 1-8,text,true,,570,513,10,10,http://localhost:9001/emergency,93,0,0
1681150209715,223,HTTP Request,200,,Thread Group 1-7,text,true,,553,513,10,10,http://localhost:9001/emergency,223,0,0
1681150209938,106,HTTP Request,200,,Thread Group 1-7,text,true,,570,513,10,10,http://localhost:9001/emergency,106,0,0
1681150210045,115,HTTP Request,200,,Thread Group 1-7,text,true,,570,513,10,10,http://localhost:9001/emergency,115,0,0
1681150210841,140,HTTP Request,200,,Thread Group 1-9,text,true,,570,513,10,10,http://localhost:9001/emergency,140,0,1
1681150210841,143,HTTP Request,200,,Thread Group 1-10,text,true,,570,513,10,10,http://localhost:9001/emergency,143,0,1
1681150210839,153,HTTP Request,200,,Thread Group 1-5,text,true,,570,513,10,10,http://localhost:9001/emergency,153,0,0
1681150210840,152,HTTP Request,200,,Thread Group 1-1,text,true,,570,513,10,10,http://localhost:9001/emergency,152,0,0
1681150211517,273,HTTP Request,200,,Thread Group 1-2,text,true,,553,513,10,10,http://localhost:9001/emergency,273,0,0
1681150211517,287,HTTP Request,200,,Thread Group 1-4,text,true,,570,513,10,10,http://localhost:9001/emergency,287,0,0
1681150211517,299,HTTP Request,200,,Thread Group 1-3,text,true,,570,513,10,10,http://localhost:9001/emergency,299,0,0
1681150211790,155,HTTP Request,200,,Thread Group 1-2,text,true,,570,513,10,10,http://localhost:9001/emergency,155,0,0
1681150211804,148,HTTP Request,200,,Thread Group 1-4,text,true,,570,513,10,10,http://localhost:9001/emergency,148,0,0
1681150212382,253,HTTP Request,200,,Thread Group 1-10,text,true,,570,513,10,10,http://localhost:9001/emergency,252,0,0
1681150212382,270,HTTP Request,200,,Thread Group 1-9,text,true,,570,513,10,10,http://localhost:9001/emergency,270,0,0
1681150212635,140,HTTP Request,200,,Thread Group 1-10,text,true,,570,513,10,10,http://localhost:9001/emergency,140,0,0
1681150212635,150,HTTP Request,200,,Thread Group 1-1,text,true,,553,513,10,10,http://localhost:9001/emergency,150,0,0
1681150213192,148,HTTP Request,200,,Thread Group 1-7,text,true,,570,513,10,10,http://localhost:9001/emergency,148,0,0
1681150213340,103,HTTP Request,200,,Thread Group 1-7,text,true,,570,513,10,10,http://localhost:9001/emergency,103,0,0
1681150213443,106,HTTP Request,200,,Thread Group 1-7,text,true,,570,513,10,10,http://localhost:9001/emergency,106,0,0
1681150213953,123,HTTP Request,200,,Thread Group 1-4,text,true,,570,513,10,10,http://localhost:9001/emergency,123,0,0
1681150213953,151,HTTP Request,200,,Thread Group 1-5,text,true,,570,513,10,10,http://localhost:9001/emergency,151,0,0
1681150214076,123,HTTP Request,200,,Thread Group 1-4,text,true,,570,513,10,10,http://localhost:9001/emergency,123,0,0
1681150214577,174,HTTP Request,200,,Thread Group 1-1,text,true,,553,513,10,10,http://localhost:9001/emergency,174,0,0
1681150214576,193,HTTP Request,200,,Thread Group 1-10,text,true,,570,513,10,10,http://localhost:9001/emergency,193,0,0
1681150214752,108,HTTP Request,200,,Thread Group 1-1,text,true,,595,513,10,10,http://localhost:9001/emergency,108,0,0
1681150214860,98,HTTP Request,200,,Thread Group 1-1,text,true,,553,513,10,10,http://localhost:9001/emergency,98,0,0
1681150215551,133,HTTP Request,200,,Thread Group 1-6,text,true,,570,513,10,10,http://localhost:9001/emergency,133,0,0
1681150215551,157,HTTP Request,200,,Thread Group 1-7,text,true,,570,513,10,10,http://localhost:9001/emergency,157,0,0
1681150215551,157,HTTP Request,200,,Thread Group 1-9,text,true,,570,513,10,10,http://localhost:9001/emergency,157,0,0
1681150215685,103,HTTP Request,200,,Thread Group 1-6,text,true,,570,513,10,10,http://localhost:9001/emergency,103,0,0
1681150216178,131,HTTP Request,200,,Thread Group 1-8,text,true,,553,513,10,10,http://localhost:9001/emergency,131,0,0
1681150216309,92,HTTP Request,200,,Thread Group 1-8,text,true,,570,513,10,10,http://localhost:9001/emergency,92,0,0
1681150216401,103,HTTP Request,200,,Thread Group 1-8,text,true,,570,513,10,10,http://localhost:9001/emergency,103,0,0
1681150216952,119,HTTP Request,200,,Thread Group 1-1,text,true,,570,513,10,10,http://localhost:9001/emergency,119,0,0
1681150216952,132,HTTP Request,200,,Thread Group 1-5,text,true,,570,513,10,10,http://localhost:9001/emergency,132,0,0
1681150217071,117,HTTP Request,200,,Thread Group 1-1,text,true,,570,513,10,10,http://localhost:9001/emergency,117,0,0
1681150217510,136,HTTP Request,200,,Thread Group 1-7,text,true,,570,513,10,10,http://localhost:9001/emergency,136,0,0
1681150217510,137,HTTP Request,200,,Thread Group 1-6,text,true,,570,513,10,10,http://localhost:9001/emergency,137,0,0
1681150217646,113,HTTP Request,200,,Thread Group 1-7,text,true,,570,513,10,10,http://localhost:9001/emergency,113,0,0
1681150218202,93,HTTP Request,200,,Thread Group 1-8,text,true,,570,513,10,10,http://localhost:9001/emergency,93,0,0
1681150218202,127,HTTP Request,200,,Thread Group 1-2,text,true,,570,513,10,10,http://localhost:9001/emergency,127,0,0
1681150218672,159,HTTP Request,200,,Thread Group 1-9,text,true,,570,513,10,10,http://localhost:9001/emergency,159,0,0
1681150218672,178,HTTP Request,200,,Thread Group 1-5,text,true,,570,513,10,10,http://localhost:9001/emergency,178,0,0
1681150218832,118,HTTP Request,200,,Thread Group 1-9,text,true,,570,513,10,10,http://localhost:9001/emergency,118,0,0
1681150219247,151,HTTP Request,200,,Thread Group 1-6,text,true,,570,513,10,10,http://localhost:9001/emergency,151,0,0
1681150219247,156,HTTP Request,200,,Thread Group 1-10,text,true,,570,513,10,10,http://localhost:9001/emergency,156,0,0
1681150219403,101,HTTP Request,200,,Thread Group 1-10,text,true,,570,513,10,10,http://localhost:9001/emergency,101,0,0
1681150220097,188,HTTP Request,200,,Thread Group 1-8,text,true,,570,513,10,10,http://localhost:9001/emergency,188,0,0
1681150220274,111,HTTP Request,200,,Thread Group 1-1,text,true,,570,513,10,10,http://localhost:9001/emergency,111,0,0
1681150220652,99,HTTP Request,200,,Thread Group 1-5,text,true,,553,513,10,10,http://localhost:9001/emergency,99,0,0
1681150220652,116,HTTP Request,200,,Thread Group 1-9,text,true,,570,513,10,10,http://localhost:9001/emergency,116,0,0
1681150221200,138,HTTP Request,200,,Thread Group 1-4,text,true,,570,513,10,10,http://localhost:9001/emergency,138,0,0
1681150221200,142,HTTP Request,200,,Thread Group 1-6,text,true,,553,513,10,10,http://localhost:9001/emergency,142,0,0
1681150221875,137,HTTP Request,200,,Thread Group 1-8,text,true,,570,513,10,10,http://localhost:9001/emergency,137,0,0
1681150221875,137,HTTP Request,200,,Thread Group 1-2,text,true,,570,513,10,10,http://localhost:9001/emergency,137,0,0
1681150221875,150,HTTP Request,200,,Thread Group 1-3,text,true,,570,513,10,10,http://localhost:9001/emergency,150,0,0
1681150222012,99,HTTP Request,200,,Thread Group 1-2,text,true,,570,513,10,10,http://localhost:9001/emergency,99,0,0
1681150222552,135,HTTP Request,200,,Thread Group 1-5,text,true,,570,513,10,10,http://localhost:9001/emergency,135,0,0
1681150222552,149,HTTP Request,200,,Thread Group 1-9,text,true,,553,513,10,10,http://localhost:9001/emergency,149,0,0
1681150222688,112,HTTP Request,200,,Thread Group 1-5,text,true,,570,513,10,10,http://localhost:9001/emergency,112,0,0
1681150222801,119,HTTP Request,200,,Thread Group 1-5,text,true,,570,513,10,10,http://localhost:9001/emergency,119,0,0
1681150223276,129,HTTP Request,200,,Thread Group 1-8,text,true,,553,513,10,10,http://localhost:9001/emergency,129,0,0
1681150223276,141,HTTP Request,200,,Thread Group 1-1,text,true,,570,513,10,10,http://localhost:9001/emergency,141,0,0
1681150223405,124,HTTP Request,200,,Thread Group 1-8,text,true,,570,513,10,10,http://localhost:9001/emergency,123,0,0
1681150224113,205,HTTP Request,200,,Thread Group 1-2,text,true,,570,513,10,10,http://localhost:9001/emergency,205,0,0
1681150224289,120,HTTP Request,200,,Thread Group 1-4,text,true,,570,513,10,10,http://localhost:9001/emergency,120,0,0
1681150224409,130,HTTP Request,200,,Thread Group 1-4,text,true,,570,513,10,10,http://localhost:9001/emergency,130,0,0
1681150224877,173,HTTP Request,200,,Thread Group 1-5,text,true,,570,513,10,10,http://localhost:9001/emergency,173,0,0
1681150224877,191,HTTP Request,200,,Thread Group 1-7,text,true,,570,513,10,10,http://localhost:9001/emergency,191,0,0
1681150225050,113,HTTP Request,200,,Thread Group 1-5,text,true,,570,513,10,10,http://localhost:9001/emergency,113,0,0
